,catalina_GT - Catalina Diaz.jpg,Maryam_GT - Maryam Berijanian(2).png,Waterbottle copy_GT - Katie Reagan.png,Waterbottle_GT - Dirk Colbry.png,Waterbottle_GT.jpg,Waterbottle_Nathan_Haut_GT - Nathaniel haut.jpg,Waterbottle_navya_GT - navya bhardwaj.jpg
catalina_GT - Catalina Diaz.jpg,0.0,0.9911625033001352,0.9914797082675073,0.9914832542184209,0.9135641092361516,0.7071994678649656,0.43662096921149557
Maryam_GT - Maryam Berijanian(2).png,0.9913380663237499,0.0,0.9999841042150341,0.9999838224998991,0.7573321270404496,0.9292840677601115,0.9710075861260676
Waterbottle copy_GT - Katie Reagan.png,0.991824923638207,0.9999911720010816,0.0,0.0008658854166666667,0.999873814928383,0.999157001022101,0.9977503759741102
Waterbottle_GT - Dirk Colbry.png,0.9918297421911804,0.9999908184848241,0.0008658854166666667,0.0,0.9998733570522447,0.9991554489922297,0.997744047702136
Waterbottle_GT.jpg,0.9124988613368964,0.7543275528418845,0.9997673445115399,0.9997677926763943,0.0,0.5009868200382558,0.7490126174266788
Waterbottle_Nathan_Haut_GT - Nathaniel haut.jpg,0.7069832729947008,0.9285886515107202,0.9990330526641812,0.9990303327833885,0.5034091723817073,0.0,0.3308186504058551
Waterbottle_navya_GT - navya bhardwaj.jpg,0.4362528110606542,0.970617775185123,0.997559087055791,0.997552266762682,0.7505985459832853,0.3307924678098259,0.0
