,catalina_GT - Catalina Diaz.jpg,Maryam_GT - Maryam Berijanian(2).png,Waterbottle copy_GT - Katie Reagan.png,Waterbottle_GT - Dirk Colbry.png,Waterbottle_GT.jpg,Waterbottle_Nathan_Haut_GT - Nathaniel haut.jpg,Waterbottle_navya_GT - navya bhardwaj.jpg
catalina_GT - Catalina Diaz.jpg,0.0,0.005786132812499956,0.005040690104166634,0.005291341145833295,0.006277669270833286,0.010183919270833286,0.012361653645833304
Maryam_GT - Maryam Berijanian(2).png,0.005786132812499956,0.0,0.004166666666666652,0.004130859375000018,0.006468098958333335,0.008844401041666616,0.010791015624999956
Waterbottle copy_GT - Katie Reagan.png,0.005040690104166634,0.004166666666666652,0.0,0.0017317708333333126,0.006923828125000031,0.006559244791666696,0.008675130208333437
Waterbottle_GT - Dirk Colbry.png,0.005291341145833295,0.004130859375000018,0.0017317708333333126,0.0,0.007187500000000013,0.00626302083333341,0.008356119791666616
Waterbottle_GT.jpg,0.006277669270833286,0.006468098958333335,0.006923828125000031,0.007187500000000013,0.0,0.01260091145833342,0.014596354166666714
Waterbottle_Nathan_Haut_GT - Nathaniel haut.jpg,0.010183919270833286,0.008844401041666616,0.006559244791666696,0.00626302083333341,0.01260091145833342,0.0,0.007623697916666616
Waterbottle_navya_GT - navya bhardwaj.jpg,0.012361653645833304,0.010791015624999956,0.008675130208333437,0.008356119791666616,0.014596354166666714,0.007623697916666616,0.0
