,GT,Dirk,Nathan,Catalina,Maryam,Navya,Katie
GT,0.0,0.2920353982300885,0.3421828908554573,0.5073746312684366,0.7728613569321534,0.9823008849557522,1.0
Dirk,0.2920353982300885,0.0,0.05014749262536877,0.21533923303834807,0.4808259587020649,0.6902654867256637,0.7079646017699115
Nathan,0.3421828908554573,0.05014749262536877,0.0,0.1651917404129793,0.43067846607669613,0.6401179941002949,0.6578171091445427
Catalina,0.5073746312684366,0.21533923303834807,0.1651917404129793,0.0,0.2654867256637168,0.47492625368731567,0.49262536873156343
Maryam,0.7728613569321534,0.4808259587020649,0.43067846607669613,0.2654867256637168,0.0,0.20943952802359883,0.22713864306784662
Navya,0.9823008849557522,0.6902654867256637,0.6401179941002949,0.47492625368731567,0.20943952802359883,0.0,0.017699115044247787
Katie,1.0,0.7079646017699115,0.6578171091445427,0.49262536873156343,0.22713864306784662,0.017699115044247787,0.0
