,catalina_GT - Catalina Diaz.jpg,Maryam_GT - Maryam Berijanian(2).png,Waterbottle copy_GT - Katie Reagan.png,Waterbottle_GT - Dirk Colbry.png,Waterbottle_GT.jpg,Waterbottle_Nathan_Haut_GT - Nathaniel haut.jpg,Waterbottle_navya_GT - navya bhardwaj.jpg
catalina_GT - Catalina Diaz.jpg,0.0,0.0036702473958333333,0.0011108398437500002,0.0011466471354166668,0.0076863606770833336,0.005259602864583333,0.006129557291666667
Maryam_GT - Maryam Berijanian(2).png,0.005393880208333333,0.0,0.001953125,0.0018929036458333332,0.007715657552083333,0.0053564453125,0.00614990234375
Waterbottle copy_GT - Katie Reagan.png,0.004602864583333333,0.003465169270833333,0.0,0.0008658854166666667,0.007604166666666667,0.005174967447916666,0.0060180664062500005
Waterbottle_GT - Dirk Colbry.png,0.004651692708333334,0.0033894856770833332,0.0008658854166666667,0.0,0.007574869791666667,0.005126953125,0.005896809895833333
Waterbottle_GT.jpg,0.004689127604166667,0.00301513671875,0.0008146158854166667,0.0008430989583333333,0.0,0.0050415039062500005,0.0058251953125
Waterbottle_Nathan_Haut_GT - Nathaniel haut.jpg,0.004954427083333333,0.00315673828125,0.0013476562500000001,0.0012638346354166667,0.00761474609375,0.0,0.005567220052083334
Waterbottle_navya_GT - navya bhardwaj.jpg,0.005760904947916667,0.004136555989583333,0.0023592122395833335,0.00222900390625,0.008269856770833334,0.005542805989583333,0.0
