,catalina_GT - Catalina Diaz.jpg,Maryam_GT - Maryam Berijanian(2).png,Waterbottle copy_GT - Katie Reagan.png,Waterbottle_GT - Dirk Colbry.png,Waterbottle_GT.jpg,Waterbottle_Nathan_Haut_GT - Nathaniel haut.jpg,Waterbottle_navya_GT - navya bhardwaj.jpg
catalina_GT - Catalina Diaz.jpg,0.0,0.005906575520833333,0.0045703125,0.07524332682291666,0.0772216796875,0.9993758138020833,0.9986824544270834
Maryam_GT - Maryam Berijanian(2).png,0.005906575520833333,0.0,0.0027701822916666665,0.07471272786458333,0.07702229817708334,0.9995613606770833,0.9988435872395833
Waterbottle copy_GT - Katie Reagan.png,0.0045703125,0.0027701822916666665,0.0,0.07342692057291667,0.0764599609375,0.9992244466145833,0.9983642578125
Waterbottle_GT - Dirk Colbry.png,0.07524332682291666,0.07471272786458333,0.07342692057291667,0.0,0.0073681640625,0.9998274739583334,0.99976806640625
Waterbottle_GT.jpg,0.0772216796875,0.07702229817708334,0.0764599609375,0.0073681640625,0.0,0.99977294921875,0.9997127278645833
Waterbottle_Nathan_Haut_GT - Nathaniel haut.jpg,0.9993758138020833,0.9995613606770833,0.9992244466145833,0.9998274739583334,0.99977294921875,0.0,0.0076505533854166665
Waterbottle_navya_GT - navya bhardwaj.jpg,0.9986824544270834,0.9988435872395833,0.9983642578125,0.99976806640625,0.9997127278645833,0.0076505533854166665,0.0
