,Dirk,Maryam,Catalina,Katie,Nathan,Navya,GT
Dirk,0.0,1.0000100925967843,1.0000578346933555,0.9586145988308912,0.9998980617043156,1.0000643360683543,0.9990844191047286
Maryam,1.000006738824581,0.0,0.7734229346319001,0.9998538442368176,0.9578526107889842,0.7492436039967086,0.9910201840028752
Catalina,1.0000064870498586,0.7699818150079307,0.0,0.9967990744760696,0.6392018464219935,0.053067636757124,0.8972433722687638
Katie,0.9576851600622996,0.9998201703509694,0.9970694854341104,0.0,0.9781129493568992,0.9975703697691246,0.9070913413815422
Nathan,0.9998527745553428,0.9575972174293887,0.6426582962196068,0.9782911183534936,0.0,0.6798141250598582,0.5365438029957699
Navya,1.0000472339009927,0.7485439821355783,0.0568607672575728,0.9975909745571172,0.6797248076655326,0.0,0.9100027736719776
GT,0.9990588055993058,0.9911310772896336,0.9000277637448435,0.9081487216232536,0.5384517775240215,0.9109652141260728,0.0
