,Dirk,Maryam,Catalina,Katie,Nathan,Navya,GT
Dirk,0.0,0.0031640625,0.3261832682291667,0.0066520182291666,0.0080240885416666,0.009521484375,0.0354231770833333
Maryam,0.0031640625,0.0,0.3279475911458334,0.0068277994791666,0.0095084635416666,0.0090755208333332,0.0342382812499999
Catalina,0.3261832682291667,0.3279475911458334,0.0,0.3300032552083334,0.3187744140624999,0.3323258463541667,0.3603271484374999
Katie,0.0066520182291666,0.0068277994791666,0.3300032552083334,0.0,0.0119742838541667,0.0095328776041666,0.0318929036458333
Nathan,0.0080240885416666,0.0095084635416666,0.3187744140624999,0.0119742838541667,0.0,0.0146354166666666,0.0425065104166666
Navya,0.009521484375,0.0090755208333332,0.3323258463541667,0.0095328776041666,0.0146354166666666,0.0,0.03076171875
GT,0.0354231770833333,0.0342382812499999,0.3603271484374999,0.0318929036458333,0.0425065104166666,0.03076171875,0.0
