,Dirk,Maryam,Catalina,Katie,Nathan,Navya,GT
Dirk,0.0,0.999990818484824,0.9918297421911804,0.0008658854166666,0.9991554489922296,0.997744047702136,0.9998733570522448
Maryam,0.9999838224998993,0.0,0.99133806632375,0.999984104215034,0.9292840677601116,0.9710075861260676,0.7573321270404496
Catalina,0.9914832542184208,0.9911625033001352,0.0,0.9914797082675072,0.7071994678649656,0.4366209692114955,0.9135641092361516
Katie,0.0008658854166666,0.9999911720010816,0.991824923638207,0.0,0.999157001022101,0.9977503759741102,0.999873814928383
Nathan,0.9990303327833884,0.9285886515107202,0.7069832729947008,0.9990330526641812,0.0,0.3308186504058551,0.5034091723817073
Navya,0.997552266762682,0.970617775185123,0.4362528110606542,0.997559087055791,0.3307924678098259,0.0,0.7505985459832853
GT,0.9997677926763944,0.7543275528418845,0.9124988613368964,0.99976734451154,0.5009868200382558,0.7490126174266788,0.0
