,Dirk,Maryam,Catalina,Katie,Nathan,Navya,GT
Dirk,0.0,0.16432373046875,1.0,0.1657096354166666,0.99984619140625,0.1670076497395833,0.1804833984375
Maryam,0.16432373046875,0.0,1.0,0.0074405924479166,0.9997184244791668,0.0085611979166666,0.18062744140625
Catalina,1.0,1.0,0.0,1.0,1.0,1.0,0.9999959309895832
Katie,0.1657096354166666,0.0074405924479166,1.0,0.0,0.9995963541666668,0.0099658203125,0.1805533854166666
Nathan,0.99984619140625,0.9997184244791668,1.0,0.9995963541666668,0.0,0.9990087890625,0.9997615559895834
Navya,0.1670076497395833,0.0085611979166666,1.0,0.0099658203125,0.9990087890625,0.0,0.1808528645833333
GT,0.1804833984375,0.18062744140625,0.9999959309895832,0.1805533854166666,0.9997615559895834,0.1808528645833333,0.0
