,Dirk,Maryam,Catalina,Katie,Nathan,Navya,GT
Dirk,0.0,1.0000022633885846,1.0000386842972784,0.984329609963475,0.9992513240720932,0.9972668534978236,1.0000182074156392
Maryam,0.9999967707481574,0.0,0.4844894741399804,0.9990775767793038,0.981893262921019,0.9946357560456116,0.83371999536438
Catalina,0.9999874314534342,0.4761594285872182,0.0,0.9961468817174088,0.9336719839256518,0.9791301198042188,0.9538229777111434
Katie,0.9836485306201528,0.9990018716461244,0.996629680218269,0.0,0.8374352173812939,0.5833878391043609,1.0002088117258
Nathan,0.999083697612706,0.9814910394436952,0.9357061656189724,0.8371944321536491,0.0,0.4270157719981585,0.999951922633867
Navya,0.9969959196734318,0.9944689251530704,0.9801413836565632,0.583230469795346,0.4272032194090672,0.0,1.0002792440941302
GT,1.000001394984918,0.8187552300593537,0.9478688786016988,0.9999819313440632,0.9989884133077466,0.9997603168160464,0.0
