,Dirk,Maryam,Catalina,Katie,Nathan,Navya,GT
Dirk,0.0,0.0047013346354166,0.0139493815104166,0.0063240559895833,0.0068245442708333,0.0075406901041666,0.0396134440104166
Maryam,0.0022452799479166,0.0,0.01266845703125,0.0068912760416666,0.0072737630208333,0.0079288736979166,0.0368302408854166
Catalina,0.0023063151041666,0.0040022786458333,0.0,0.0066251627604166,0.007001953125,0.00794189453125,0.0383634440104166
Katie,0.00145751953125,0.0046622721354166,0.0137548828125,0.0,0.006591796875,0.00734619140625,0.0395377604166666
Nathan,0.0015177408854166,0.0046044921875,0.01368408203125,0.0061173502604166,0.0,0.0072705078124999,0.0394099934895833
Navya,0.0028963216145833,0.005859375,0.0141658528645833,0.0071630859375,0.0074568684895833,0.0,0.0396598307291666
GT,0.0089029947916666,0.0086848958333333,0.0160205078125,0.0119734700520833,0.0123136393229166,0.0127701822916666,0.0
