,Dirk,Maryam,Catalina,Katie,Nathan,Navya,GT
Dirk,0.0,0.0112495422363281,0.2022393544514973,0.0130672454833984,0.0185445149739582,0.0284290313720703,0.0263983408610025
Maryam,0.0112495422363281,0.0,0.204495112101237,0.0141124725341796,0.0156644185384113,0.0294399261474609,0.0258096059163411
Catalina,0.2022393544514973,0.204495112101237,0.0,0.201342264811198,0.2050749460856119,0.1894900004069011,0.2076021830240886
Katie,0.0130672454833984,0.0141124725341796,0.201342264811198,0.0,0.0146287282307941,0.0253397623697916,0.0210838317871093
Nathan,0.0185445149739582,0.0156644185384113,0.2050749460856119,0.0146287282307941,0.0,0.0287431081136066,0.0241171518961589
Navya,0.0284290313720703,0.0294399261474609,0.1894900004069011,0.0253397623697916,0.0287431081136066,0.0,0.0211168924967447
GT,0.0263983408610025,0.0258096059163411,0.2076021830240886,0.0210838317871093,0.0241171518961589,0.0211168924967447,0.0
