,Dirk,Maryam,Catalina,Katie,Nathan,Navya,GT
Dirk,0.0,0.0080121358235677,0.0155922571818033,0.0095138549804687,0.0119930903116861,0.0167754491170247,0.0134181976318359
Maryam,0.0063276290893554,0.0,0.0133295059204101,0.0106410980224609,0.0110438664754231,0.0170526504516601,0.0137790044148763
Catalina,0.0081122716267903,0.00775146484375,0.0,0.0089756647745768,0.0095434188842773,0.0132773717244466,0.0090220769246419
Katie,0.0055971145629882,0.0087715784708658,0.0132436752319335,0.0,0.009869893391927,0.0146204630533854,0.0108178456624348
Nathan,0.0094445546468098,0.0099782943725585,0.0138953526814778,0.0109281539916992,0.0,0.0169378916422526,0.0111776987711588
Navya,0.0140959421793619,0.0159810384114583,0.0168190002441406,0.0149707794189453,0.016818364461263,0.0,0.0110607147216796
GT,0.0127512613932291,0.0148064295450846,0.0161530176798502,0.0136709213256835,0.0132805506388346,0.013703982035319,0.0
