,Dirk,Maryam,Catalina,Katie,Nathan,Navya,GT
Dirk,0.0,0.0033894856770833,0.0046516927083333,0.0008658854166666,0.005126953125,0.0058968098958333,0.0075748697916666
Maryam,0.0018929036458333,0.0,0.0053938802083333,0.001953125,0.0053564453125,0.00614990234375,0.0077156575520833
Catalina,0.0011466471354166,0.0036702473958333,0.0,0.00111083984375,0.0052596028645833,0.0061295572916666,0.0076863606770833
Katie,0.0008658854166666,0.0034651692708333,0.0046028645833333,0.0,0.0051749674479166,0.00601806640625,0.0076041666666666
Nathan,0.0012638346354166,0.00315673828125,0.0049544270833333,0.00134765625,0.0,0.0055672200520833,0.00761474609375
Navya,0.00222900390625,0.0041365559895833,0.0057609049479166,0.0023592122395833,0.0055428059895833,0.0,0.0082698567708333
GT,0.0008430989583333,0.00301513671875,0.0046891276041666,0.0008146158854166,0.00504150390625,0.0058251953125,0.0
