,Maryam,Dirk,Nathan,Katie,Catalina,Navya,GT
Maryam,0.0,0.05016882643371179,0.2390559375732737,0.3004786152713713,0.31262767839686223,0.83947369827062,1.0
Dirk,-0.05016882643371179,0.0,0.18888711113956191,0.25030978883765953,0.26245885196315044,0.7893048718369082,0.9498311735662882
Nathan,-0.2390559375732737,-0.18888711113956191,0.0,0.061422677698097616,0.07357174082358853,0.6004177606973463,0.7609440624267263
Katie,-0.3004786152713713,-0.25030978883765953,-0.061422677698097616,0.0,0.012149063125490911,0.5389950829992487,0.6995213847286287
Catalina,-0.31262767839686223,-0.26245885196315044,-0.07357174082358853,-0.012149063125490911,0.0,0.5268460198737578,0.6873723216031378
Navya,-0.83947369827062,-0.7893048718369082,-0.6004177606973463,-0.5389950829992487,-0.5268460198737578,0.0,0.16052630172937996
GT,-1.0,-0.9498311735662882,-0.7609440624267263,-0.6995213847286287,-0.6873723216031378,-0.16052630172937996,0.0
