,Dirk,Maryam,Catalina,Katie,Nathan,Navya,GT
Dirk,0.0,0.4919976633456336,0.2272199894387132,0.713687103028322,0.0534549038623417,0.6984782788927912,0.286312896971678
Maryam,0.4919976633456336,0.0,0.2647776739069205,0.2216894396826882,0.4385427594832919,0.2064806155471576,0.7783105603173117
Catalina,0.2272199894387132,0.2647776739069205,0.0,0.4864671135896087,0.1737650855763714,0.4712582894540781,0.5135328864103912
Katie,0.713687103028322,0.2216894396826882,0.4864671135896087,0.0,0.6602321991659802,0.0152088241355306,1.0
Nathan,0.0534549038623417,0.4385427594832919,0.1737650855763714,0.6602321991659802,0.0,0.6450233750304495,0.3397678008340198
Navya,0.6984782788927912,0.2064806155471576,0.4712582894540781,0.0152088241355306,0.6450233750304495,0.0,0.9847911758644692
GT,0.286312896971678,0.7783105603173117,0.5135328864103912,1.0,0.3397678008340198,0.9847911758644692,0.0
