,Dirk,Maryam,Catalina,Katie,Nathan,Navya,GT
Dirk,0.0,0.0072628657023111,1.0,0.0096963246663411,0.9922752380371094,0.0166959762573242,0.0136775970458984
Maryam,0.0072628657023111,0.0,1.0,0.0112600326538085,0.9939648310343424,0.0179799397786458,0.0148970286051432
Catalina,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Katie,0.0096963246663411,0.0112600326538085,1.0,0.0,0.9950106938680012,0.0169903437296549,0.014537493387858
Nathan,0.9922752380371094,0.9939648310343424,1.0,0.9950106938680012,0.0,0.9883127212524414,0.9911238352457682
Navya,0.0166959762573242,0.0179799397786458,1.0,0.0169903437296549,0.9883127212524414,0.0,0.0143356323242187
GT,0.0136775970458984,0.0148970286051432,1.0,0.014537493387858,0.9911238352457682,0.0143356323242187,0.0
