,Dirk,Maryam,Catalina,Katie,Nathan,Navya,GT
Dirk,0.0,0.0156047051641907,0.2144819367724633,0.1088185478113469,0.5450573628977792,0.8911814521886531,0.5577815815502596
Maryam,0.0156047051641907,0.0,0.1988772316082725,0.1244232529755376,0.5294526577335884,0.8755767470244623,0.5421768763860688
Catalina,0.2144819367724633,0.1988772316082725,0.0,0.3233004845838102,0.3305754261253159,0.6766995154161898,0.3432996447777963
Katie,0.1088185478113469,0.1244232529755376,0.3233004845838102,0.0,0.6538759107091261,1.0,0.6666001293616066
Nathan,0.5450573628977792,0.5294526577335884,0.3305754261253159,0.6538759107091261,0.0,0.3461240892908739,0.0127242186524804
Navya,0.8911814521886531,0.8755767470244623,0.6766995154161898,1.0,0.3461240892908739,0.0,0.3333998706383934
GT,0.5577815815502596,0.5421768763860688,0.3432996447777963,0.6666001293616066,0.0127242186524804,0.3333998706383934,0.0
