,Dirk,Maryam,Catalina,Katie,Nathan,Navya,GT
Dirk,0.0,0.004130859375,0.0052913411458332,0.0017317708333333,0.0062630208333334,0.0083561197916666,0.0071875
Maryam,0.004130859375,0.0,0.0057861328124999,0.0041666666666666,0.0088444010416666,0.0107910156249999,0.0064680989583333
Catalina,0.0052913411458332,0.0057861328124999,0.0,0.0050406901041666,0.0101839192708332,0.0123616536458333,0.0062776692708332
Katie,0.0017317708333333,0.0041666666666666,0.0050406901041666,0.0,0.0065592447916666,0.0086751302083334,0.006923828125
Nathan,0.0062630208333334,0.0088444010416666,0.0101839192708332,0.0065592447916666,0.0,0.0076236979166666,0.0126009114583334
Navya,0.0083561197916666,0.0107910156249999,0.0123616536458333,0.0086751302083334,0.0076236979166666,0.0,0.0145963541666667
GT,0.0071875,0.0064680989583333,0.0062776692708332,0.006923828125,0.0126009114583334,0.0145963541666667,0.0
