,GT,Dirk,Nathan,Catalina,Maryam,Navya,Katie
GT,0.0,0.28631289697167805,0.3397678008340198,0.5135328864103912,0.7783105603173117,0.9847911758644693,1.0
Dirk,-0.28631289697167805,0.0,0.05345490386234175,0.2272199894387132,0.49199766334563366,0.6984782788927912,0.713687103028322
Nathan,-0.3397678008340198,-0.05345490386234175,0.0,0.17376508557637144,0.4385427594832919,0.6450233750304495,0.6602321991659802
Catalina,-0.5135328864103912,-0.2272199894387132,-0.17376508557637144,0.0,0.26477767390692053,0.4712582894540781,0.48646711358960876
Maryam,-0.7783105603173117,-0.49199766334563366,-0.4385427594832919,-0.26477767390692053,0.0,0.2064806155471576,0.22168943968268826
Navya,-0.9847911758644693,-0.6984782788927912,-0.6450233750304495,-0.4712582894540781,-0.2064806155471576,0.0,0.01520882413553066
Katie,-1.0,-0.713687103028322,-0.6602321991659802,-0.48646711358960876,-0.22168943968268826,-0.01520882413553066,0.0
