,Katie,Dirk,Maryam,Catalina,Nathan,GT,Navya
Katie,0.0,0.2156274385476561,0.24098811628024452,0.3028604641601974,0.43931357479588096,0.8501996773010978,1.0
Dirk,-0.2156274385476561,0.0,0.025360677732588432,0.08723302561254132,0.22368613624822486,0.6345722387534417,0.7843725614523439
Maryam,-0.24098811628024452,-0.025360677732588432,0.0,0.06187234787995288,0.19832545851563643,0.6092115610208533,0.7590118837197555
Catalina,-0.3028604641601974,-0.08723302561254132,-0.06187234787995288,0.0,0.13645311063568355,0.5473392131409004,0.6971395358398026
Nathan,-0.43931357479588096,-0.22368613624822486,-0.19832545851563643,-0.13645311063568355,0.0,0.41088610250521684,0.560686425204119
GT,-0.8501996773010978,-0.6345722387534417,-0.6092115610208533,-0.5473392131409004,-0.41088610250521684,0.0,0.14980032269890217
Navya,-1.0,-0.7843725614523439,-0.7590118837197555,-0.6971395358398026,-0.560686425204119,-0.14980032269890217,0.0
