,Dirk,Maryam,Catalina,Katie,Nathan,Navya,GT
Dirk,0.0,0.0747127278645833,0.0752433268229166,0.0734269205729166,0.9998274739583334,0.99976806640625,0.0073681640625
Maryam,0.0747127278645833,0.0,0.0059065755208333,0.0027701822916666,0.9995613606770832,0.9988435872395832,0.0770222981770833
Catalina,0.0752433268229166,0.0059065755208333,0.0,0.0045703125,0.9993758138020832,0.9986824544270834,0.0772216796875
Katie,0.0734269205729166,0.0027701822916666,0.0045703125,0.0,0.9992244466145832,0.9983642578125,0.0764599609375
Nathan,0.9998274739583334,0.9995613606770832,0.9993758138020832,0.9992244466145832,0.0,0.0076505533854166,0.99977294921875
Navya,0.99976806640625,0.9988435872395832,0.9986824544270834,0.9983642578125,0.0076505533854166,0.0,0.9997127278645832
GT,0.0073681640625,0.0770222981770833,0.0772216796875,0.0764599609375,0.99977294921875,0.9997127278645832,0.0
