,Dirk,Maryam,Catalina,Katie,Nathan,Navya,GT
Dirk,0.0,0.0437944715451504,0.0733183403043628,0.1527103648654183,0.1737512227032007,0.6523112611146258,1.0
Maryam,-0.0437944715451504,0.0,0.0295238687592123,0.1089158933202678,0.1299567511580502,0.6085167895694752,0.9562055284548496
Catalina,-0.0733183403043628,-0.0295238687592123,0.0,0.0793920245610555,0.1004328823988379,0.5789929208102629,0.9266816596956372
Katie,-0.1527103648654183,-0.1089158933202678,-0.0793920245610555,0.0,0.0210408578377824,0.4996008962492074,0.8472896351345817
Nathan,-0.1737512227032007,-0.1299567511580502,-0.1004328823988379,-0.0210408578377824,0.0,0.4785600384114249,0.8262487772967992
Navya,-0.6523112611146258,-0.6085167895694752,-0.5789929208102629,-0.4996008962492074,-0.4785600384114249,0.0,0.3476887388853742
GT,-1.0,-0.9562055284548496,-0.9266816596956372,-0.8472896351345817,-0.8262487772967992,-0.3476887388853742,0.0
