,a_walk_in_the_park copy_GT - Katie Reagan.jpg,a_walk_in_the_park_GT - Catalina Diaz.jpg,a_walk_in_the_park_GT - Dirk Colbry.png,a_walk_in_the_park_GT.jpg,a_walk_in_the_park_Nathan_Haut_GT - Nathaniel haut.jpg,a_walk_in_the_park_navya_GT - navya bhardwaj.jpg,Maryam_GT - Maryam Berijanian.png
a_walk_in_the_park copy_GT - Katie Reagan.jpg,0.0,0.0137548828125,0.0014575195312500002,0.039537760416666665,0.006591796875,0.00734619140625,0.004662272135416667
a_walk_in_the_park_GT - Catalina Diaz.jpg,0.006625162760416667,0.0,0.002306315104166667,0.038363444010416664,0.007001953125,0.00794189453125,0.004002278645833333
a_walk_in_the_park_GT - Dirk Colbry.png,0.006324055989583333,0.013949381510416668,0.0,0.039613444010416665,0.006824544270833334,0.007540690104166667,0.004701334635416667
a_walk_in_the_park_GT.jpg,0.011973470052083334,0.0160205078125,0.008902994791666667,0.0,0.012313639322916667,0.012770182291666668,0.008684895833333333
a_walk_in_the_park_Nathan_Haut_GT - Nathaniel haut.jpg,0.006117350260416667,0.01368408203125,0.0015177408854166667,0.039409993489583336,0.0,0.007270507812499999,0.0046044921875
a_walk_in_the_park_navya_GT - navya bhardwaj.jpg,0.0071630859375,0.014165852864583333,0.0028963216145833333,0.039659830729166665,0.007456868489583333,0.0,0.005859375
Maryam_GT - Maryam Berijanian.png,0.006891276041666667,0.01266845703125,0.002245279947916667,0.036830240885416664,0.007273763020833333,0.007928873697916667,0.0
