,a_walk_in_the_park copy_GT - Katie Reagan.jpg,a_walk_in_the_park_GT - Catalina Diaz.jpg,a_walk_in_the_park_GT - Dirk Colbry.png,a_walk_in_the_park_GT.jpg,a_walk_in_the_park_Nathan_Haut_GT - Nathaniel haut.jpg,a_walk_in_the_park_navya_GT - navya bhardwaj.jpg,Maryam_GT - Maryam Berijanian.png
a_walk_in_the_park copy_GT - Katie Reagan.jpg,0.0,0.996629680218269,0.9836485306201527,1.0002088117258,0.8374352173812939,0.5833878391043609,0.9990018716461243
a_walk_in_the_park_GT - Catalina Diaz.jpg,0.9961468817174087,0.0,0.9999874314534342,0.9538229777111434,0.9336719839256518,0.9791301198042187,0.47615942858721827
a_walk_in_the_park_GT - Dirk Colbry.png,0.984329609963475,1.0000386842972784,0.0,1.0000182074156392,0.9992513240720932,0.9972668534978236,1.0000022633885846
a_walk_in_the_park_GT.jpg,0.9999819313440631,0.9478688786016987,1.000001394984918,0.0,0.9989884133077466,0.9997603168160465,0.8187552300593537
a_walk_in_the_park_Nathan_Haut_GT - Nathaniel haut.jpg,0.8371944321536491,0.9357061656189725,0.999083697612706,0.999951922633867,0.0,0.42701577199815854,0.9814910394436951
a_walk_in_the_park_navya_GT - navya bhardwaj.jpg,0.583230469795346,0.9801413836565631,0.9969959196734318,1.0002792440941302,0.42720321940906725,0.0,0.9944689251530704
Maryam_GT - Maryam Berijanian.png,0.9990775767793038,0.48448947413998045,0.9999967707481574,0.83371999536438,0.981893262921019,0.9946357560456116,0.0
