,a_walk_in_the_park copy_GT - Katie Reagan.jpg,a_walk_in_the_park_GT - Catalina Diaz.jpg,a_walk_in_the_park_GT - Dirk Colbry.png,a_walk_in_the_park_GT.jpg,a_walk_in_the_park_Nathan_Haut_GT - Nathaniel haut.jpg,a_walk_in_the_park_navya_GT - navya bhardwaj.jpg,Maryam_GT - Maryam Berijanian.png
a_walk_in_the_park copy_GT - Katie Reagan.jpg,0.0,0.3300032552083334,0.006652018229166612,0.031892903645833304,0.011974283854166767,0.009532877604166656,0.006827799479166674
a_walk_in_the_park_GT - Catalina Diaz.jpg,0.3300032552083334,0.0,0.32618326822916677,0.3603271484374999,0.31877441406249996,0.33232584635416673,0.3279475911458334
a_walk_in_the_park_GT - Dirk Colbry.png,0.006652018229166612,0.32618326822916677,0.0,0.03542317708333331,0.008024088541666696,0.009521484375,0.003164062500000009
a_walk_in_the_park_GT.jpg,0.031892903645833304,0.3603271484374999,0.03542317708333331,0.0,0.04250651041666664,0.03076171875,0.03423828124999995
a_walk_in_the_park_Nathan_Haut_GT - Nathaniel haut.jpg,0.011974283854166767,0.31877441406249996,0.008024088541666696,0.04250651041666664,0.0,0.014635416666666679,0.009508463541666679
a_walk_in_the_park_navya_GT - navya bhardwaj.jpg,0.009532877604166656,0.33232584635416673,0.009521484375,0.03076171875,0.014635416666666679,0.0,0.009075520833333295
Maryam_GT - Maryam Berijanian.png,0.006827799479166674,0.3279475911458334,0.003164062500000009,0.03423828124999995,0.009508463541666679,0.009075520833333295,0.0
