,catalina_GT - Catalina Diaz.jpeg,Maryam_GT - Maryam Berijanian(1).png,Mushrooms_GT - Dirk Colbry.png,Mushrooms_GT - Katie Reagan.jpeg,Mushrooms_GT.png,Mushrooms_Nathan_Haut_GT - Nathaniel haut.jpeg,Mushrooms_navya_GT - navya bhardwaj.jpeg
catalina_GT - Catalina Diaz.jpeg,0.0,0.20449511210123705,0.20223935445149732,0.201342264811198,0.20760218302408862,0.20507494608561194,0.18949000040690112
Maryam_GT - Maryam Berijanian(1).png,0.20449511210123705,0.0,0.011249542236328125,0.014112472534179688,0.025809605916341183,0.015664418538411384,0.029439926147460938
Mushrooms_GT - Dirk Colbry.png,0.20223935445149732,0.011249542236328125,0.0,0.013067245483398438,0.026398340861002567,0.01854451497395826,0.028429031372070312
Mushrooms_GT - Katie Reagan.jpeg,0.201342264811198,0.014112472534179688,0.013067245483398438,0.0,0.021083831787109375,0.014628728230794197,0.02533976236979163
Mushrooms_GT.png,0.20760218302408862,0.025809605916341183,0.026398340861002567,0.021083831787109375,0.0,0.024117151896158928,0.021116892496744755
Mushrooms_Nathan_Haut_GT - Nathaniel haut.jpeg,0.20507494608561194,0.015664418538411384,0.01854451497395826,0.014628728230794197,0.024117151896158928,0.0,0.028743108113606697
Mushrooms_navya_GT - navya bhardwaj.jpeg,0.18949000040690112,0.029439926147460938,0.028429031372070312,0.02533976236979163,0.021116892496744755,0.028743108113606697,0.0
