,catalina_GT - Catalina Diaz.jpeg,Maryam_GT - Maryam Berijanian(1).png,Mushrooms_GT - Dirk Colbry.png,Mushrooms_GT - Katie Reagan.jpeg,Mushrooms_GT.png,Mushrooms_Nathan_Haut_GT - Nathaniel haut.jpeg,Mushrooms_navya_GT - navya bhardwaj.jpeg
catalina_GT - Catalina Diaz.jpeg,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Maryam_GT - Maryam Berijanian(1).png,1.0,0.0,0.007262865702311198,0.011260032653808594,0.014897028605143229,0.9939648310343424,0.017979939778645832
Mushrooms_GT - Dirk Colbry.png,1.0,0.007262865702311198,0.0,0.009696324666341146,0.013677597045898438,0.9922752380371094,0.01669597625732422
Mushrooms_GT - Katie Reagan.jpeg,1.0,0.011260032653808594,0.009696324666341146,0.0,0.014537493387858072,0.9950106938680013,0.01699034372965495
Mushrooms_GT.png,1.0,0.014897028605143229,0.013677597045898438,0.014537493387858072,0.0,0.9911238352457682,0.01433563232421875
Mushrooms_Nathan_Haut_GT - Nathaniel haut.jpeg,1.0,0.9939648310343424,0.9922752380371094,0.9950106938680013,0.9911238352457682,0.0,0.9883127212524414
Mushrooms_navya_GT - navya bhardwaj.jpeg,1.0,0.017979939778645832,0.01669597625732422,0.01699034372965495,0.01433563232421875,0.9883127212524414,0.0
