,catalina_GT - Catalina Diaz.jpeg,Maryam_GT - Maryam Berijanian(1).png,Mushrooms_GT - Dirk Colbry.png,Mushrooms_GT - Katie Reagan.jpeg,Mushrooms_GT.png,Mushrooms_Nathan_Haut_GT - Nathaniel haut.jpeg,Mushrooms_navya_GT - navya bhardwaj.jpeg
catalina_GT - Catalina Diaz.jpeg,0.0,0.00775146484375,0.008112271626790365,0.008975664774576822,0.009022076924641926,0.009543418884277344,0.013277371724446613
Maryam_GT - Maryam Berijanian(1).png,0.013329505920410156,0.0,0.006327629089355469,0.010641098022460938,0.013779004414876303,0.011043866475423178,0.017052650451660156
Mushrooms_GT - Dirk Colbry.png,0.015592257181803385,0.008012135823567709,0.0,0.00951385498046875,0.013418197631835938,0.011993090311686199,0.016775449117024742
Mushrooms_GT - Katie Reagan.jpeg,0.013243675231933594,0.008771578470865887,0.005597114562988281,0.0,0.010817845662434896,0.009869893391927084,0.014620463053385416
Mushrooms_GT.png,0.01615301767985026,0.014806429545084635,0.012751261393229168,0.013670921325683594,0.0,0.013280550638834635,0.013703982035319012
Mushrooms_Nathan_Haut_GT - Nathaniel haut.jpeg,0.013895352681477863,0.009978294372558594,0.009444554646809896,0.010928153991699219,0.011177698771158854,0.0,0.016937891642252602
Mushrooms_navya_GT - navya bhardwaj.jpeg,0.016819000244140625,0.015981038411458332,0.014095942179361979,0.014970779418945312,0.011060714721679688,0.01681836446126302,0.0
